IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
47.128.253.66,8443,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,544,24.43
18.140.5.21,993,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,493,14.12
47.128.253.66,2053,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,531,13.97
54.169.200.216,443,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,393,12.23
47.128.185.87,443,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,523,10.7
18.136.104.40,19042,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,409,9.24
18.143.94.44,8443,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,525,6.24
47.128.164.52,9999,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,473,4.77
13.250.99.226,8443,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,447,3.57
13.228.170.74,443,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,413,2.79
18.143.171.10,8443,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,528,2.38
18.141.204.88,443,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,476,1.31
52.74.101.26,443,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,476,0.92
54.169.229.188,443,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,400,0.82
13.250.22.76,443,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,468,0.69
8.217.149.28,2096,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",179,27.68
8.210.101.157,8443,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",521,25.83
18.167.172.112,443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,160,25
8.218.207.169,2053,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",529,24.72
8.210.65.1,8443,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",268,24.48
47.76.146.1,443,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",181,24.02
8.217.149.28,8443,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",409,23.58
47.242.59.216,8443,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",625,21.62
47.76.49.246,2053,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",199,21.17
47.242.155.183,8443,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",625,19.94
8.210.101.157,2087,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",201,19.92
47.243.162.49,8443,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",582,19.57
8.218.18.132,2096,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",404,18.96
47.76.94.15,443,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",200,18.13
8.218.22.210,2083,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",489,17.5
